"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"505","21.301203588","8e:81:44:a0:eb:1c","IPv6mcast_fb","802.11","238","-59dBm","5785MHz","6","Data, SN=1950, FN=0, Flags=.p....F.C"
"506","21.402403100","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1951, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"508","21.504782194","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1953, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"510","21.607176810","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1955, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"512","21.709590467","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1957, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"514","21.811968154","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1959, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"516","21.914399780","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1961, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"518","22.016837807","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1963, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"520","22.119227283","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1965, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"522","22.221618604","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1967, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"526","22.324005191","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1969, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"528","22.426430565","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1971, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"530","22.528833312","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1973, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"532","22.631238118","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=1975, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"535","22.733655545","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=1977, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"538","22.836024457","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1979, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"540","22.938422583","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1981, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"542","23.040890742","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=1983, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"544","23.143306819","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1985, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
